Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2017/10/31;23:34:26;1509492866;104.3;176;137;20251525.0;0;0;28.0;82.4;66;0;-1
2017/10/31;23:34:36;1509492876;32.0;93;46;39.0;0;0;28.0;82.4;66;1075;-1
2017/10/31;23:34:46;1509492886;34.0;97;49;39.0;0;0;28.0;82.4;66;1073;-1
2017/10/31;23:34:56;1509492896;35.0;99;50;43.0;0;0;28.0;82.4;66;1039;-1
2017/10/31;23:35:06;1509492906;37.0;105;53;44.0;0;0;28.0;82.4;66;1045;-1
2017/10/31;23:35:16;1509492916;36.0;102;52;44.0;0;0;27.9;82.2;64;1035;-1
2017/10/31;23:35:26;1509492926;38.0;107;55;44.0;0;0;27.9;82.2;64;1038;-1
2017/10/31;23:35:36;1509492936;38.0;107;55;43.0;0;0;27.9;82.2;64;1034;-1
2017/10/31;23:35:46;1509492946;44.0;122;62;59.0;0;0;27.8;82.1;63;1034;-1
2017/10/31;23:35:56;1509492956;41.0;115;58;56.0;0;0;27.8;82.1;63;1031;-1
2017/10/31;23:36:06;1509492966;38.0;107;55;55.0;0;0;27.8;82.1;63;1030;-1
2017/10/31;23:36:16;1509492976;31.0;91;44;39.0;0;0;27.8;82.0;63;1028;-1
2017/10/31;23:36:26;1509492986;29.0;87;41;34.0;0;0;27.8;82.0;63;1055;-1
2017/10/31;23:36:36;1509492996;27.0;82;39;30.0;0;0;27.8;82.0;63;1321;-1
2017/10/31;23:36:46;1509493006;25.0;78;36;26.0;0;0;27.8;82.0;63;1459;-1
