31140,49593,1538023811.9155352
28033,4039,1538023812.85307
33419,60548,1538023813.496894
19144,5181,1538023813.6973672
24663,0,1538023814.9942832
0,0,1538023816.3849752
42115,6762,1538023816.8693755
0,30202,1538023817.9475427
42442,6119,1538023818.353817
0,31863,1538023819.3382304
43847,35166,1538023820.0257595
16766,77154,1538023820.4164336
0,50254,1538023821.2445953
68009,1558,1538023821.9164987
0,51116,1538023822.963384
0,4729,1538023823.8696709
0,3389,1538023824.61974
0,1562,1538023825.322861
0,0,1538023826.69795
41632,22920,1538023826.9166918
0,45044,1538023828.0573864
0,71267,1538023829.0105116
0,33116,1538023829.744959
0,2111,1538023831.0418887
38488,4257,1538023831.5731287
17649,2399,1538023832.0263064
0,2755,1538023832.90131
0,10879,1538023833.7607155
0,0,1538023835.1358123
0,77775,1538023836.2764592
8706,11434,1538023836.5733747
13854,0,1538023837.542128
0,111213,1538023838.82344
0,9663,1538023839.9485006
0,76826,1538023841.073567
23145,3140,1538023841.3860807
0,0,1538023842.7610996
0,0,1538023844.1517906
26003,109499,1538023844.9487011
0,7113,1538023845.6831412
0,93235,1538023846.933164
0,4824,1538023847.8238564
0,2620,1538023848.5426378
0,0,1538023849.9176662
0,86659,1538023850.8551974
0,46057,1538023851.933408
27734,2761,1538023853.0115454
0,61406,1538023853.7616117
0,68452,1538023854.8085306
0,56159,1538023855.5897691
5430,2195,1538023855.8866556
8487,84978,1538023856.7080562
19909,136727,1538023857.156224
7734,58502,1538023857.3124757
42417,6659,1538023858.1406758
0,37499,1538023859.234474
0,0,1538023860.609523
0,61486,1538023861.9689553
0,33243,1538023863.1408908
0,0,1538023864.5159807
23756,9554,1538023864.9222162
0,40620,1538023865.8597898
0,1936,1538023866.89105
34596,7563,1538023867.1254563
0,10914,1538023867.9379745
0,129781,1538023869.0318015
0,33192,1538023870.234976
0,4125,1538023871.2037368
0,2712,1538023871.8912663
22460,3322,1538023872.141277
0,7945,1538023873.0319378
0,6251,1538023873.7820034
31030,8632,1538023874.203896
0,31488,1538023875.250785
0,5053,1538023876.516466
0,6027,1538023877.2352777
19535,3289,1538023877.95402
16515,0,1538023878.782196
0,0,1538023880.157247
0,3047,1538023881.204197
0,3748,1538023881.907313
26508,4644,1538023882.2667422
0,2714,1538023883.0636165
2509,5972,1538023883.344864
0,2033,1538023884.032442
0,5191,1538023885.0793624
36901,4402,1538023885.4387164
0,34258,1538023886.5794272
9836,5805,1538023887.391929
0,34919,1538023888.3451276
0,0,1538023889.7201865
42993,50855,1538023890.1682491
27698,0,1538023890.9651597
0,45342,1538023892.1527252
0,2540,1538023893.0902529
0,0,1538023894.4653423
0,9090,1538023895.8091185
27895,6065,1538023896.2778866
0,35991,1538023897.1373324
0,32279,1538023898.356135
0,5027,1538023899.2155468
0,3415,1538023900.324939
0,5623,1538023901.1375058
19363,19297,1538023901.8250341
15613,3196,1538023902.2469258
0,50109,1538023903.0594122
0,5232,1538023903.8407178
0,2419,1538023904.5594945
0,4519,1538023905.3408089
0,2812,1538023906.0439453
0,34155,1538023906.9502537
22487,2543,1538023907.372146
0,1366,1538023908.137805
0,3224,1538023908.872211
0,0,1538023910.2472355
5454,71088,1538023910.544113
0,0,1538023911.9192157
4326,3731,1538023912.6848414
0,29980,1538023913.4036047
0,0,1538023914.7786808
0,14055,1538023915.5912182
0,0,1538023916.96628
0,3081,1538023917.7631826
60725,12020,1538023918.1225748
0,3269,1538023919.0288513
0,55857,1538023919.9038923
46464,3562,1538023920.2632804
50112,52301,1538023921.1695786
0,51223,1538023922.2164962
0,0,1538023923.5915537
18999,3748,1538023924.3884678
0,32100,1538023925.2322416
0,11138,1538023926.013532
0,11313,1538023926.794815
0,1899,1538023927.5136
0,33657,1538023928.4198914
0,3969,1538023929.4511826
0,88905,1538023930.732481
10182,6006,1538023931.0762422
0,36351,1538023932.0762892
15886,4399,1538023932.4044685
0,36723,1538023933.4982288
0,92600,1538023934.435799
15312,6958,1538023934.810788
44041,79335,1538023935.795218
0,33114,1538023936.9358823
2117,53813,1538023937.3109286
0,4115,1538023937.9984581
3504,0,1538023938.7796962
0,0,1538023940.1547627
0,0,1538023941.529858
0,8446,1538023942.248641
10670,0,1538023942.9830096
0,4931,1538023944.0611718
0,0,1538023945.4362473
0,0,1538023946.8269105
44267,4563,1538023947.4675672
0,33332,1538023948.5457504
0,0,1538023949.9208424
0,62965,1538023950.7645988
0,34828,1538023951.9521477
29524,3379,1538023952.5615516
0,30143,1538023953.467829
0,44114,1538023954.670998
0,1238,1538023955.3898017
0,4064,1538023956.1866915
0,15169,1538023956.905466
0,4000,1538023957.7023935
0,2453,1538023958.3899558
0,0,1538023959.7650156
0,2317,1538023960.858776
0,0,1538023962.2494605
10087,1244,1538023962.5775967
0,1732,1538023963.390133
0,10749,1538023964.3589294
0,7900,1538023965.0620956
24618,6099,1538023965.5933452
0,51882,1538023966.5777774
0,24481,1538023967.7496977
