116,183,196,77,121,130,1543764601.4436395
116,183,196,77,121,130,1543764602.2786334
116,183,196,77,121,130,1543764603.1513815
116,183,195,77,121,129,1543764604.0603678
116,183,195,77,121,129,1543764604.936784
116,183,195,77,121,129,1543764605.7683644
116,184,197,77,122,131,1543764606.7220168
116,184,197,77,122,131,1543764607.5540648
116,184,197,77,122,131,1543764608.426998
116,184,198,77,122,131,1543764609.3889313
116,184,198,77,122,131,1543764610.221108
116,184,198,77,122,131,1543764611.0974138
116,185,198,77,123,131,1543764612.0554013
114,182,194,75,121,128,1543764612.8909407
114,182,194,75,121,128,1543764613.7637875
114,181,193,75,120,128,1543764614.7217746
118,187,200,78,124,133,1543764615.5572956
118,187,200,78,124,133,1543764616.4297552
117,186,200,77,123,133,1543764617.392277
115,183,197,76,121,131,1543764618.2729042
115,183,197,76,121,131,1543764619.1535232
115,183,197,76,121,131,1543764620.1162972
115,183,195,76,122,130,1543764621.0748475
115,181,193,76,120,128,1543764622.037007
115,181,192,76,120,128,1543764622.9955237
114,181,192,75,120,128,1543764623.905063
116,184,193,77,122,128,1543764624.8592396
116,185,194,77,123,129,1543764625.768015
115,185,195,76,123,129,1543764626.7188857
115,183,194,76,121,129,1543764627.680982
115,184,195,76,122,129,1543764628.590295
116,185,197,77,123,131,1543764629.5445144
116,186,197,77,123,131,1543764630.506789
117,186,196,77,123,130,1543764631.4242644
117,186,196,77,123,130,1543764632.3050427
116,185,195,76,122,129,1543764633.181677
116,184,193,76,122,128,1543764634.0914629
116,184,193,76,122,128,1543764634.9265304
116,184,193,76,122,128,1543764635.8481178
116,185,194,77,123,129,1543764636.8101778
116,185,194,77,123,129,1543764637.650424
116,185,194,77,123,129,1543764638.5226917
115,184,194,76,122,128,1543764639.4361014
115,184,194,76,122,128,1543764640.3085175
115,184,194,76,122,128,1543764641.1517515
116,186,194,77,123,129,1543764642.1024878
116,186,194,77,123,129,1543764642.938
116,186,194,77,123,129,1543764643.8104932
115,186,195,76,123,129,1543764644.7687244
114,185,194,75,122,128,1543764645.6084826
114,185,194,75,122,128,1543764646.4853985
115,186,196,76,123,130,1543764647.3947463
115,186,196,76,123,130,1543764648.2712023
115,186,196,76,123,130,1543764649.1105802
114,185,194,75,122,128,1543764650.0606003
114,185,194,75,122,128,1543764650.8959808
114,185,194,75,122,128,1543764651.7683432
114,184,194,75,122,128,1543764652.731225
114,184,194,75,122,128,1543764653.611175
115,185,195,76,123,129,1543764654.492673
115,184,195,76,122,129,1543764655.4507904
115,184,195,76,122,129,1543764656.3231678
114,183,194,75,121,128,1543764657.1589146
114,183,194,75,121,128,1543764658.109409
114,183,194,75,121,128,1543764658.9853532
114,183,194,75,121,128,1543764659.8172662
115,184,195,76,122,129,1543764660.7706542
115,184,195,76,122,129,1543764661.6524398
115,184,195,76,122,129,1543764662.5324917
115,185,196,76,122,130,1543764663.4911067
115,183,195,76,121,129,1543764664.4500594
115,183,194,76,121,128,1543764665.4088726
115,185,195,76,122,129,1543764666.3212798
116,185,196,76,122,130,1543764667.2753158
116,185,197,76,122,130,1543764668.2302532
117,186,198,77,123,131,1543764669.1432123
116,186,199,76,123,132,1543764670.0942004
116,187,200,76,124,132,1543764671.0518188
117,188,203,77,124,134,1543764672.0102162
117,189,204,77,125,135,1543764672.9690008
118,191,205,78,126,136,1543764673.931047
118,190,205,78,126,136,1543764674.8898268
118,190,205,78,126,136,1543764675.773861
118,190,205,78,126,136,1543764676.6548123
118,191,205,78,126,136,1543764677.6134079
119,192,206,79,127,137,1543764678.489883
119,192,206,79,127,137,1543764679.3219054
120,193,206,79,128,137,1543764680.2306411
120,193,206,79,128,137,1543764681.1070414
120,193,206,79,128,137,1543764681.9386744
121,195,208,80,129,138,1543764682.8928738
121,195,208,80,129,138,1543764683.7245343
121,195,208,80,129,138,1543764684.5560193
121,195,208,80,129,138,1543764685.469234
121,195,208,80,129,138,1543764686.3008745
121,195,208,80,129,138,1543764687.1320977
121,195,207,80,129,137,1543764688.0951533
121,195,207,80,129,137,1543764688.9791646
121,195,207,80,129,137,1543764689.8107939
120,194,206,79,129,137,1543764690.7196486
120,194,206,79,129,137,1543764691.5554538
120,194,206,79,129,137,1543764692.3870494
120,194,206,79,129,137,1543764693.2965672
120,194,206,79,129,137,1543764694.1319296
120,194,206,79,129,137,1543764694.963256
122,194,206,81,129,137,1543764695.8726685
122,194,206,81,129,137,1543764696.7082276
122,194,206,81,129,137,1543764697.5394325
122,196,208,81,130,138,1543764698.4529538
122,196,208,81,130,138,1543764699.3253725
122,196,208,81,130,138,1543764700.1610017
122,195,206,81,129,137,1543764701.0702517
121,193,205,80,128,136,1543764701.983635
120,193,205,79,128,136,1543764702.8928342
119,192,203,78,127,134,1543764703.806183
120,192,203,79,127,135,1543764704.7155259
120,191,202,79,127,134,1543764705.628819
121,191,203,80,127,135,1543764706.5387561
121,193,205,80,128,136,1543764707.4508984
120,191,205,79,126,136,1543764708.3607895
120,190,203,79,126,134,1543764709.2739737
120,190,202,79,126,134,1543764710.183584
121,191,205,80,127,136,1543764711.0965862
121,189,205,80,125,136,1543764712.006055
121,189,205,80,125,136,1543764712.8375552
120,188,204,79,124,135,1543764713.6731815
120,189,205,79,125,136,1543764714.5826411
120,189,205,79,125,136,1543764715.413919
120,189,205,79,125,136,1543764716.2494156
120,189,205,79,125,136,1543764717.1586607
120,189,205,79,125,136,1543764717.9936292
120,189,205,79,125,136,1543764718.8260999
120,189,204,79,125,135,1543764719.7350402
120,189,204,79,125,135,1543764720.570793
