Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm);VOC(ppb)
2016/12/08;18:30:17;1481221817;104.3;176;137;20251525.0;0;0;21.0;69.9;58;0;-1
2016/12/08;18:30:27;1481221827;117.8;183;155;153.0;0;0;21.0;69.9;58;1140;-1
2016/12/08;19:09:53;1481224193;104.3;176;137;20251525.0;0;0;20.0;67.9;56;0;-1
2016/12/08;19:10:03;1481224203;118.7;184;156;144.0;0;0;20.0;67.9;56;867;-1
2016/12/08;19:10:13;1481224213;124.0;186;164;154.0;0;0;19.8;67.6;56;852;-1
2016/12/08;19:10:23;1481224223;121.3;185;160;153.0;0;0;19.8;67.6;56;843;-1
2016/12/08;19:10:33;1481224233;120.4;185;159;151.0;0;0;19.8;67.6;56;781;-1
2016/12/08;19:10:43;1481224243;119.6;184;157;147.0;0;0;19.6;67.2;56;777;-1
2016/12/08;19:10:53;1481224253;118.7;184;156;142.0;0;0;19.6;67.2;56;774;-1
2016/12/08;19:11:03;1481224263;119.6;184;157;144.0;0;0;19.6;67.2;56;765;-1
2016/12/08;19:11:13;1481224273;118.7;184;156;141.0;0;0;19.4;66.9;56;758;-1
2016/12/08;19:11:23;1481224283;116.9;183;154;143.0;0;0;19.4;66.9;56;747;-1
2016/12/08;19:11:33;1481224293;118.7;184;156;148.0;0;0;19.4;66.9;56;741;-1
2016/12/08;19:11:43;1481224303;117.8;183;155;148.0;0;0;19.2;66.6;57;731;-1
2016/12/08;19:11:53;1481224313;120.4;185;159;149.0;0;0;19.2;66.6;57;724;-1
2016/12/08;19:12:03;1481224323;119.6;184;157;144.0;0;0;19.2;66.6;57;720;-1
2016/12/08;19:12:13;1481224333;119.6;184;157;148.0;0;0;19.1;66.3;56;715;-1
2016/12/08;19:12:23;1481224343;120.4;185;159;149.0;0;0;19.1;66.3;56;712;-1
2016/12/08;19:12:33;1481224353;121.3;185;160;153.0;0;0;19.1;66.3;56;710;-1
2016/12/08;19:12:43;1481224363;121.3;185;160;153.0;0;0;18.9;66.1;57;703;-1
2016/12/08;19:12:53;1481224373;119.6;184;157;155.0;0;0;18.9;66.1;57;699;-1
2016/12/08;19:13:03;1481224383;123.1;186;162;153.0;0;0;18.9;66.1;57;692;-1
2016/12/08;19:13:13;1481224393;124.9;187;165;151.0;0;0;18.8;65.8;57;689;-1
2016/12/08;19:13:23;1481224403;129.4;189;171;154.0;0;0;18.8;65.8;57;686;-1
2016/12/08;19:13:33;1481224413;126.7;188;167;152.0;0;0;18.8;65.8;57;684;-1
2016/12/08;19:13:43;1481224423;124.9;187;165;152.0;0;0;18.7;65.6;58;683;-1
